"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",54.2383396167653,13.3989848715981,4.04794394027077,0.0000940270684456852
"nps_cluster_1",1.42462336161772,2.68723614143615,0.530144463171871,0.597033908525847
"nps_cluster_2",-0.0754862249226406,3.86492198113295,-0.0195311122167886,0.984451264366317
"porfolio_cluster_1",-8.40592041590363,3.06516604859842,-2.74240295064841,0.00707575875304701
"porfolio_cluster_2",-7.00985772076094,3.60002263209196,-1.94717045895001,0.0539523522352696
"porfolio_cluster_3",-1.08709490978368,9.46656210955273,-0.114835237671624,0.908775981698196
"porfolio_cluster_4",-4.0461754387307,4.36584087489806,-0.926780328159618,0.355981536800011
"fin_cluster_1",0.831211835854607,9.01769571422199,0.0921756357939297,0.926718874477857
"fin_cluster_2",5.04323254279541,4.23755084552158,1.19012909263975,0.236446749010247
"fin_cluster_3",-1.45454024647501,3.39189589058045,-0.428828093018531,0.668850549083059
"fin_cluster_4",-13.8579784763953,7.30903864061249,-1.89600563874348,0.0604688695828914
"fin_cluster_5",20.4733042012021,18.2011858046679,1.12483353672218,0.263001839009484
"law",-10.3765353801137,7.00955164258641,-1.48034224001878,0.14151640647818
"securities",-16.8887901216775,6.67634444120134,-2.52964631624646,0.0127712841715918
"strategy",-0.953472891604688,7.54940341945713,-0.1262977799209,0.89971676221504
"Н1_CAR",-7.05345735222051,6.64165429389969,-1.0620030853908,0.290459429248407
"Н2_liquidity",-1.16081633707089,1.12826772847735,-1.02884830237719,0.305710052031112
"Н3_liquidity",1.09615763313145,1.46631329629826,0.747560317361048,0.456251299080486
"ROA",-7.18326447842855,25.1157281475032,-0.286006618491874,0.775387611274579
"TotalLoans_TotalAssets",16.0435926686892,10.035902915747,1.59861975582841,0.11264911630457
"Z_score",145.432270722783,58.3515393497725,2.49234677171117,0.0141150127187113
"gos_sobstv",2.36563971771074,3.74248056051831,0.632104744288401,0.528573103826294
"foreign",19.899400809165,4.18326803999466,4.75690312428329,0.00000575382204776107
"system",19.8698343778647,4.344808712534,4.57323571473786,0.000012188137334384
"A_Shares",80.1352177542705,75.9829913304539,1.05464678806548,0.29379762131552
"A_bonds",6.413220307715,16.0662264472434,0.39917402688018,0.690505287701368
"A_capitals",-70.2681631779107,49.8096522639516,-1.41073386349989,0.16102247596928
"A_loro_loans",-77.3754938507932,49.8703553755177,-1.55153283485079,0.123521784746199
"A_fixed_assets",-6.0230754107288,58.2093121685696,-0.103472712291917,0.917768035793579
"P_deposits_individuals",-17.5865433408844,8.91373834486867,-1.97297056077581,0.050898175327669
"P_corporate_funds",-9.14440706412129,10.4510860108047,-0.874971945945858,0.383412910226639
"P_capitals",5.36712709598214,14.501557153184,0.370106950535565,0.711983549865793
