"","V1"
"nps_cluster_1",1.82151862999791
"nps_cluster_2",1.64464640243398
"porfolio_cluster_1",1.68883731487437
"porfolio_cluster_2",2.0763955979524
"porfolio_cluster_3",2.03361212272418
"porfolio_cluster_4",3.42622286060828
"fin_cluster_1",1.23876506594747
"fin_cluster_2",1.75634293961301
"fin_cluster_3",2.90206396956467
"fin_cluster_4",1.60515265922641
"fin_cluster_5",2.54069200006114
"law",1.43959602301234
"nationhood",1.67229465488574
"strategy",1.3081513088893
"Н1_CAR",4.53146306755662
"Н2_liquidity",2.36543383657255
"Н3_liquidity",2.64171892712853
"ROA",1.21857317124455
"TotalLoans_TotalAssets",3.69566738311651
"Z_score",1.55195798449729
"gos_sobstv",1.3699306457146
"foreign",1.37519022531219
"system",1.35850639315373
"A_Shares",1.39615821831718
"A_bonds",6.45852574880555
"A_capitals",1.39166629720723
"A_loro_loans",1.44848870773885
"A_fixed_assets",1.39388205775551
"P_deposits_individuals",3.1905256940872
"P_corporate_funds",2.67565104011048
"P_capitals",3.79874350430195
